V1,V2,da
Mt,8,2
Mt,14,3
Mt,16,2
Mt,18,2
Mt,23,2
Mt,25,4
Mt,26,3
Mt,27,4
Mt,28,3
Mt,30,2
Mt,31,2
Mt,32,2
Mt,35,4
Mt,36,3
Mt,37,2
Mt,39,2
Mt,40,2
Mt,44,1
Mt,45,1
Mt,46,1
Mt,49,1
Mt,51,1
Mt,52,2
Mt,54,4
Mt,57,4
Mt,58,2
Mt,59,6
Mt,60,2
Mt,61,3
Mt,63,4
Mt,66,2
Mt,67,4
Mt,69,4
Mt,71,8
Mt,72,1
Mt,74,2
Mt,75,2
Mt,77,4
Mt,78,2
Mt,79,1
Mt,81,4
Mt,83,6
Mt,84,6
Mt,85,4
Mt,86,4
Mt,88,4
Mt,89,2
Mt,91,2
Mt,93,8
Mt,95,2
Mt,96,2
Mt,97,4
Mt,98,6
Mt,100,4
Mt,102,2
Mt,103,4
Mt,104,4
Mt,106,2
Mt,107,4
Mt,108,6
Mt,112,1
Mt,114,1
Mt,118,1
Mt,119,1
Mt,120,2
Mt,121,3
Mt,122,4
Mt,125,4
Mt,126,2
Mt,128,1
Mt,129,6
Mt,130,1
Mt,131,3
Mt,134,2
Mt,136,2
Mt,139,1
Mt,140,4
Mt,141,4
Mt,144,2
Mt,145,1
Mt,146,4
Mt,149,2
Mt,151,2
Mt,152,8
Mt,153,4
Mt,155,2
Mt,156,2
Mt,158,8
Mt,160,4
Mt,161,2
Mt,162,1
Mt,163,2
Mt,164,3
Mt,165,1
Mt,167,3
Mt,169,2
Mt,171,2
Mt,172,6
Mt,174,2
Mt,175,2
Mt,176,4
Mt,177,4
Mt,179,1
Mt,183,2
Mt,184,2
Mt,185,4
Mt,188,4
Mt,189,4
Mt,190,4
Mt,192,2
Mt,193,2
Mt,194,2
Mt,195,4
Mt,196,4
Mt,198,2
Mt,199,3
Mt,200,1
Mt,202,4
Mt,203,4
Mt,204,2
Mt,205,1
Mt,206,1
Mt,210,2
Mt,211,2
Mt,212,2
Mt,215,6
Mt,216,2
Mt,217,2
Mt,218,2
Mt,219,5
Mt,222,1
Mt,223,2
Mt,224,2
Mt,226,1
Mt,227,2
Mt,228,2
Mt,229,6
Mt,231,4
Mt,232,2
Mt,233,4
Mt,234,10
Mt,236,4
Mt,237,4
Mt,241,2
Mt,242,2
Mt,243,1
Mt,244,2
Mt,246,2
Mt,247,4
Mt,248,2
Mt,249,8
Mt,252,2
Mt,255,1
Mt,259,4
Mt,261,2
Mt,262,2
Mt,263,4
Mt,264,7
Mt,265,4
Mt,267,4
Mt,269,4
Mt,270,4
Mt,271,2
Mt,272,3
Mt,274,6
Mt,275,2
Mt,277,2
Mt,281,2
Mt,285,2
Mt,286,2
Mt,287,2
Mt,288,1
Mt,290,1
Mt,291,3
Mt,293,5
Mt,294,2
Mt,295,4
Mt,296,2
Mt,299,2
Mt,300,2
Mt,301,4
Mt,302,4
Mt,305,4
Mt,307,4
Mt,308,2
Mt,309,3
Mt,312,2
Mt,316,2
Mt,318,2
Mt,319,2
Mt,320,4
Mt,321,4
Mt,322,2
Mt,323,2
Mt,325,4
Mt,329,4
Mt,330,4
Mt,331,1
Mt,332,2
Mt,333,1
Mt,334,2
Mt,335,2
Mt,336,1
Mt,337,2
Mt,338,1
Mt,339,2
Mt,340,6
Mt,341,2
Mt,342,2
Mt,344,6
Mt,345,2
Mt,346,4
Mt,348,4
Mt,349,1
Mt,351,2
Mt,353,3
Mt,355,6
Mt,357,2
Mt,358,2
Mt,359,1
Mt,361,2
Mt,362,1
Mt,363,1
Mt,364,8
Mt,366,4
Mt,367,2
Mt,369,4
Mt,370,2
Mt,371,4
Mt,373,2
Mt,375,2
Mt,376,4
Mt,377,2
Mt,378,1
Mt,379,2
Mt,380,6
Mt,383,2
Mt,384,4
Mt,385,2
Mt,386,4
Mt,388,3
Mt,389,4
Mt,391,2
Mt,392,4
Mt,393,1
Mt,394,4
Mt,395,2
Mt,396,5
Mt,398,2
Mt,400,2
Mt,401,2
Mt,402,4
Mt,403,2
Mt,404,1
Mt,406,4
Mt,409,2
